model;klasa;counts
Ford C-Max;X;25
Ford Galaxy;X;25
Volkswagen Eos;X;25
Hyundai i30;X;25
Opel Agila;X;24
Subaru Legacy;X;24
BMW Z3;X;23
Volvo C30;X;23
Dacia Dokker;X;23
Toyota Prius;X;22
Jeep Cherokee;X;22
Nissan Townstar;X;22
Suzuki Ignis;X;22
Seat Exeo;X;21
Audi S8;X;20
Mercedes-Benz ML;X;20
Ford Escape;X;20
Chevrolet Orlando;X;19
Audi Q7;X;19
Audi S5;X;18
Audi A2;X;17
Fiat 126;X;17
Fiat Doblo;X;17
Audi S6;X;16
Peugeot 301;X;16
Seat Toledo;X;16
Opel Karl;X;16
Seat Alhambra;X;16
Audi RS3;X;16
Opel Astra Cabriolet;X;16
Toyota MR2;X;15
Audi 80;X;15
Opel Combo;X;15
Chevrolet Camaro;X;15
BMW M5;X;15
BMW Seria8;X;14
Honda FR-V;X;14
Ford F150;X;14
Audi A4 Cabriolet;X;14
Nissan Almera;X;13
Volkswagen Bora;X;13
Volvo C70;X;13
Ford Maverick;X;13
BMW M3;X;13
Alfa-Romeo 159;X;12
Renault Thalia;X;12
Suzuki Alto;X;12
Opel Antara;X;12
Opel Tigra;X;12
Kia Sorento;X;12
Ford EDGE;X;12
Peugeot RCZ;X;12
BMW M6;X;11
Opel Signum;X;11
Volvo V70;X;11
Chevrolet Matiz;X;11
Kia Niro;X;11
Citroën C4 Aircross;X;11
Citroën C4X;X;11
Hyundai Santa;X;10
Subaru WRX;X;10
Honda City;X;10
Nissan Tiida;X;10
Chevrolet Corvette;X;10
Renault Koleos;X;10
BMW 1M;X;10
Honda Legend;X;9
Opel Frontera;X;9
Fiat Stilo;X;9
BMW M2;X;9
Mercedes-Benz KlasaG;X;9
Alfa-Romeo Brera;X;9
Dacia Jogger;X;9
Audi RS6;X;9
Toyota iQ;X;9
Subaru Justy;X;8
Suzuki Samurai;X;8
Nissan Primera;X;8
Renault Wind;X;8
Opel Cascada;X;8
BMW X6;X;8
Ford Transit;X;8
Hyundai Veloster;X;8
Toyota Camry;X;8
Mercedes-Benz CLK Cabrio;X;8
Volkswagen Golf Cabriolet;X;8
Mazda CX-7;X;8
Honda Odyssey;X;8
MINI Paceman;X;7
Chevrolet Kalos;X;7
Mercedes-Benz CLC;X;7
Suzuki Swace;X;7
Citroën C5 Kombi;X;7
Suzuki Celerio;X;7
Audi A5 Cabrio;X;7
Toyota Celica;X;7
Opel Omega;X;7
Suzuki Kizashi;X;7
Fiat Linea;X;7
Toyota Yaris Cross;X;7
Nissan 370;X;7
Toyota GR86;X;7
Opel Tigra Twin;X;6
Toyota Urban;X;6
Peugeot Rifter;X;6
Jeep Commander;X;6
Skoda Felicia;X;6
Suzuki Wagon;X;6
Mitsubishi Pajero;X;6
Audi S7;X;6
Mitsubishi Pajero Pinin;X;6
Audi SQ5;X;6
Suzuki Liana;X;6
Citroën DS5;X;6
Nissan Murano;X;6
Toyota Sienna;X;6
Mercedes-Benz KlasaR;X;5
Audi RS5;X;5
Mazda CX-9;X;5
Alfa-Romeo GT;X;5
Mitsubishi LancerEvolution;X;5
Ford Explorer;X;5
Peugeot 80;X;5
Seat Cordoba;X;5
Volkswagen Phaeton;X;5
Nissan Pixo;X;5
Nissan 350;X;5
Hyundai Sonata;X;4
Audi RS;X;4
Alfa-Romeo Spider;X;4
Audi 100;X;4
Alfa-Romeo 147;X;4
Peugeot 100;X;4
Hyundai Matrix;X;4
Alfa-Romeo GTV;X;4
Hyundai Genesis;X;4
Audi Cabriolet;X;4
Mazda Xedos;X;4
Ford Streetka;X;4
Fiat Croma;X;4
Mazda RX-8;X;4
Citroën C5 Tourer;X;4
Chevrolet Malibu;X;4
Chevrolet Lacetti;X;4
Mazda 323;X;4
Chevrolet Corvette Convertible;X;4
Mitsubishi Grandis;X;4
Subaru G3XJusty;X;4
Volkswagen Lupo;X;4
Toyota Land Cruiser;X;4
Seat Arosa;X;4
BMW X6M;X;4
Fiat Freemont;X;4
Nissan Maxima;X;4
Fiat Uno;X;4
Subaru BRZ;X;4
Audi S5 Cabrio;X;4
Hyundai Accent;X;4
Subaru Levorg;X;3
Toyota Previa;X;3
Renault Megane Cabrio;X;3
Volkswagen Corrado;X;3
Volkswagen Caravelle;X;3
Volkswagen Atlas;X;3
MINI Cooper Cabrio;X;3
Kia Magentis;X;3
MINI Inny;X;3
Honda CRX;X;3
Honda ZR-V;X;3
Hyundai Atos;X;3
Mercedes-Benz KlasaT;X;3
Peugeot 60;X;3
Mercedes-Benz GLS;X;3
Hyundai Coupe;X;3
Fiat Siena;X;3
Mazda Tribute;X;3
Mazda 626;X;3
BMW M4;X;3
Fiat Albea;X;3
Fiat 124;X;3
Chevrolet Tahoe;X;3
Alfa-Romeo 164;X;3
Opel Calibra;X;3
Opel Vivaro;X;3
Audi RS4;X;3
Honda Insight;X;2
Hyundai IONIQ;X;2
Subaru Tribeca;X;2
BMW M3 Cabrio;X;2
Citroën C8;X;2
Honda Logo;X;2
Jeep Patriot;X;2
Alfa-Romeo 145;X;2
Volkswagen Multivan;X;2
Ford Focus Cabriolet;X;2
Kia Cerato;X;2
Chevrolet Evanda;X;2
Ford Expedition;X;2
Ford Escort;X;2
Fiat Idea;X;2
Toyota FJ Cruiser;X;2
Toyota Highlander;X;2
Toyota Inny;X;2
Fiat Coupe;X;2
Fiat Barchetta;X;2
Citroën Saxo;X;2
Chevrolet Trailblazer;X;2
Citroën C3 Pluriel;X;2
Chevrolet Equinox;X;2
Jeep Liberty;X;2
Audi Coupe;X;2
Renault Trafic;X;2
Nissan Patrol;X;2
Nissan Pathfinder;X;2
Renault Vel Satis;X;2
Nissan NV200;X;2
Audi A3 Cabriolet;X;2
Volkswagen Touareg;X;2
Audi 90;X;2
Nissan Almera Tino;X;2
Audi Inny;X;2
Nissan Quest;X;2
Mitsubishi SpaceWagon;X;2
Mitsubishi Eclipse;X;2
Mitsubishi 3000GT;X;2
Nissan Rogue;X;2
Nissan Sentra;X;2
Nissan Skyline;X;2
Mercedes-Benz SLC;X;2
Mercedes-Benz GLK;X;2
Kia Sedona;X;2
Alfa-Romeo Inny;X;2
Mazda Premacy;X;2
Nissan Terrano;X;2
Alfa-Romeo 166;X;2
Chevrolet Volt;X;1
Alfa-Romeo 156;X;1
Citroën C-Crosser;X;1
Chevrolet Silverado;X;1
Volvo Seria400;X;1
Volvo Seria200;X;1
Chevrolet Suburban;X;1
Chevrolet Rezzo;X;1
Audi SQ2;X;1
Chevrolet Nubira;X;1
BMW M6 Cabrio;X;1
Audi V8;X;1
Audi S3 Cabrio;X;1
BMW Inny;X;1
Volkswagen Vento;X;1
Audi S1;X;1
Volvo 850;X;1
Audi RS7;X;1
BMW X7;X;1
Chevrolet MonteCarlo;X;1
Chevrolet Astro;X;1
Chevrolet Avalanche;X;1
Chevrolet Beretta;X;1
Chevrolet Blazer;X;1
Chevrolet Colorado;X;1
Chevrolet Epica;X;1
Chevrolet HHR;X;1
Citroën C6;X;1
Renault 4;X;1
Citroën DS3 Cabrio;X;1
Mitsubishi Galant;X;1
Jeep Inny;X;1
Kia Carnival;X;1
Subaru Ascent;X;1
Kia Inny;X;1
MINI 1300;X;1
Alfa-Romeo 146;X;1
MINI Cooper Roadster;X;1
Mercedes-Benz Citan;X;1
Seat Inny;X;1
Nissan 100;X;1
Hyundai Palisade;X;1
Nissan Altima;X;1
Nissan Armada;X;1
Nissan Primastar;X;1
Renault Safrane;X;1
Nissan Silvia;X;1
Nissan Sunny;X;1
Renault Express;X;1
Nissan Titan;X;1
Peugeot 400;X;1
Hyundai Terracan;X;1
Honda Stream;X;1
Toyota Tundra;X;1
Ford Bronco;X;1
Toyota Tacoma;X;1
Toyota Supra;X;1
Toyota Starlet;X;1
Citroën Nemo;X;1
Toyota RAV4 Hybrid;X;1
Citroën SpaceTourer;X;1
Fiat Ducato;X;1
Toyota Corolla Cross;X;1
Ford Aerostar;X;1
Ford Econoline;X;1
Honda S;X;1
Suzuki XL7;X;1
Ford Explorer Highclass;X;1
Ford Explorer Standard;X;1
Ford Flex;X;1
Ford Mustang Cabrio;X;1
Ford Sierra;X;1
Ford Taurus;X;1
Suzuki Inny;X;1
Honda Prelude;X;1
Toyota 4-Runner;X;1
