id;model;klasa;cena;rok;przebieg;pojemnosc_silnika;skrzynia_biegow;link
28506;Subaru Forester;X;2.222;2007;354;1994;Manualna;otomoto.pl/osobowe/oferta/subaru-forester-z-niemiec-jeden-wlasciciel-ID6GufWB.html
28548;Subaru Forester;X;4.422222222222222;2006;399;1994;Manualna;otomoto.pl/osobowe/oferta/subaru-forester-wyprawowy-4x4-z-reduktorem-kielichy-po-regeneracji-ID6Go8ZQ.html
28556;Subaru Forester;X;4.777777777777778;2007;320;1994;Manualna;otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-2-0-winter-edition-ID6GDs1g.html
28571;Subaru Outback;X;5.553333333333333;2014;342;2498;Automatyczna;otomoto.pl/osobowe/oferta/subaru-outback-2-5i-pelen-serwis-aso-bezwypadkowy-niemiecki-ID6GBgLL.html
28604;Subaru Forester;X;6.877777777777777;2009;315;1994;Manualna;otomoto.pl/osobowe/oferta/subaru-forester-2-0-benzyna-klima-alu-oplacony-ID6Gj0sn.html
28632;Subaru Forester;X;10.0;2013;310;1998;Automatyczna;otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-xt-platinum-salon-polska-ii-wlasciciel-ID6GqbeY.html
28642;Subaru Forester;X;11.755555555555555;2014;348;1998;Automatyczna;otomoto.pl/osobowe/oferta/subaru-forester-subaru-forester-xt-2-0-benz-240km-platinum-pl-salon-aso-nowy-silnik-ID6FVvwK.html
28658;Subaru Outback;X;13.977777777777778;2015;302;2498;Automatyczna;otomoto.pl/osobowe/oferta/subaru-outback-subaru-outback-2-5-exclusive-nowa-nizsza-cena-do-negocjacji-ID6GuxDn.html
28674;Subaru Impreza;X;15.533333333333335;1999;332;1994;Manualna;otomoto.pl/osobowe/oferta/subaru-impreza-gt-szwajcaria-bardzo-ladny-stan-ID6G5jzd.html
28823;Nissan Primera;X;1.4222222222222223;1997;303;1998;Manualna;otomoto.pl/osobowe/oferta/nissan-primera-salon-polska-od-pierwszego-wlasciciela-nadal-czarne-tablice-ID6Gs6BD.html
28841;Nissan Note;X;1.6888888888888889;2006;357;1386;Manualna;otomoto.pl/osobowe/oferta/nissan-note-nissan-note-ID6GozpE.html
28861;Nissan Primera;X;2.0;2006;315;1998;Manualna;otomoto.pl/osobowe/oferta/nissan-primera-sprzedam-nissan-primera-ID6GvmDK.html
28909;Nissan NV200;X;2.8666666666666667;2015;340;1598;Automatyczna;otomoto.pl/osobowe/oferta/nissan-nv200-nowy-york-taxi-2015r-automat-2-0-benzyna-okazja-gotowa-do-rej-ID6GkoAV.html
28976;Nissan X-Trail;X;3.9777777777777774;2004;301;2488;Manualna;otomoto.pl/osobowe/oferta/nissan-x-trail-nissan-x-trail-4x4-import-ladny-stan-ID6GqSfS.html
29020;Nissan Qashqai;SC;4.422222222222222;2007;301;1997;Manualna;otomoto.pl/osobowe/oferta/nissan-qashqai-4x4-2-0-benzyna-climatronic-sprawny-zamiana-mozliwa-ID6GDNv2.html
29048;Nissan Qashqai;SC;4.666666666666667;2008;330;1997;Manualna;otomoto.pl/osobowe/oferta/nissan-qashqai-2-solidny-suv-ID6GCRtQ.html
29236;Nissan X-Trail;X;6.666444444444444;2015;427;1618;Manualna;otomoto.pl/osobowe/oferta/nissan-x-trail-1-6-benzyna-biala-perla-panorama-xenon-skora-tekena-ID6GBxTd.html
30480;Nissan Juke;SB;21.755555555555556;2023;500;999;Manualna;otomoto.pl/osobowe/oferta/nissan-juke-1-0-114-km-6mt-n-design-nawigacja-nissanconnect-nadw-dwukolorow-ID6Gsdzv.html
30510;Nissan Juke;SB;23.311111111111114;2023;656;999;Automatyczna;otomoto.pl/osobowe/oferta/nissan-juke-n-connecta-1-0-dig-t-114km-7dct-pakiet-zimowy-pakiet-design-2023r-ID6GzojK.html
30560;Nissan Townstar;X;25.755555555555556;2023;562;1333;Manualna;otomoto.pl/osobowe/oferta/nissan-townstar-1-3-dig-t-130km-n-connecta-polski-salon-pierwszy-wlasciciel-fv23-ID6GnQsa.html
30711;Nissan Patrol;X;35.55555555555556;2003;364;4759;Automatyczna;otomoto.pl/osobowe/oferta/nissan-patrol-nissan-patrol-super-safari-y61-gu3-4-8-vtc-ID6GxXmA.html
30743;Volkswagen Golf;C;0.6666666666666666;2000;301;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-sprawny-technicznie-golf-4-kombi-1-6-16v-z-hakiem-ID6GD8cs.html
30766;Volkswagen Passat;D;0.9555555555555555;1994;309;1781;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-unikat-1-8-benzyna-sedan-wspomaganie-zdrowy-b4-malo-takich-ID6FwcS4.html
30776;Volkswagen Golf;C;1.0;2003;348;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-1-6-16v-105km-ID6GxMp1.html
30793;Volkswagen Golf;C;1.1111111111111112;2001;346;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-volkswagen-golf-iv-highline-1-6-benzyna-77kw-ID6GCVQ5.html
30794;Volkswagen Passat;D;1.1111111111111112;2002;308;1781;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-volkswagen-passat-b5-fl-1-8t-150km-2002r-ID6GBhIW.html
30813;Volkswagen NewBeetle;X;1.2888888888888888;2002;350;1984;Manualna;otomoto.pl/osobowe/oferta/volkswagen-new-beetle-vw-new-beetle-fajny-stan-ewentualnie-zamienie-ID6GsMiD.html
30879;Volkswagen Passat;D;1.7333333333333334;2006;318;1984;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-syndyk-sprzeda-vw-passat-b6-2-0-benzyna-kombi-rok-prod-2006-ID6GsIsD.html
30899;Volkswagen Touran;X;1.822222222222222;2003;305;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-touran-touran-1-6-fsi-ID6GANuC.html
30914;Volkswagen Polo;B;1.9088888888888889;2006;318;1198;Manualna;otomoto.pl/osobowe/oferta/volkswagen-polo-ID6GcUIb.html
30918;Volkswagen Passat;D;1.9333333333333331;2006;314;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-zarejestrowany-oplacony-klimatronik-ID6GDyi8.html
30941;Volkswagen Golf;C;1.9997777777777779;2007;332;1595;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-volkswagen-golf-v-ID6GBMPr.html
30975;Volkswagen Golf;C;2.2222222222222223;1999;302;1781;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-golf-iv-1-8t-gti-99r-ID6GCUxC.html
30981;Volkswagen Touran;X;2.2666666666666666;2005;321;1595;Manualna;otomoto.pl/osobowe/oferta/volkswagen-touran-vw-touran-1-6-mpi-hak-ogrzewanie-postojowe-na-pilota-ID6GDCiT.html
30998;Volkswagen Touran;X;2.4222222222222225;2005;380;1598;Manualna;otomoto.pl/osobowe/oferta/volkswagen-touran-1-6-fsi-salon-pl-pierwszy-wlasciciel-ID6GtYPD.html
31014;Volkswagen Passat;D;2.5555555555555554;2005;302;1984;Automatyczna;otomoto.pl/osobowe/oferta/volkswagen-passat-ID6GAXNh.html
31060;Volkswagen Passat;D;2.7777777777777777;2007;374;1984;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-vw-passat-b6-kombi-2-0-fsi-150km-ID6GCYpV.html
31063;Volkswagen Jetta;X;2.7777777777777777;2006;320;1984;Manualna;otomoto.pl/osobowe/oferta/volkswagen-jetta-comfortline-klima-tempomat-kola-r18-ID6GDhkQ.html
31071;Volkswagen Polo;B;2.822222222222222;2010;304;1198;Manualna;otomoto.pl/osobowe/oferta/volkswagen-polo-volkswagen-polo-1-2-2010r-5-cio-drzwiowy-ID6GzIzG.html
31101;Volkswagen Golf;C;2.888888888888889;2011;308;1390;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-1-4-tsi-salon-polska-klima-tempomat-bezkolizyjny-parktronic-ID6GCzil.html
31102;Volkswagen Golf;C;2.888888888888889;2005;330;1984;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-volkswagen-golf-5-2-0-fsi-doinwestowany-ID6Gg3QQ.html
31146;Volkswagen Golf;C;3.2;2010;317;1197;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-1-2tsi-105ps-klimatyzacja-serwis-bezwypadek-ID6GCEAS.html
31334;Volkswagen Golf;C;3.9777777777777774;2009;330;1390;Manualna;otomoto.pl/osobowe/oferta/volkswagen-golf-volkswagen-golf-vi-1-4-tsi-highline-160km-wersja-united-r-line-ID6GAxdh.html
31545;Volkswagen Passat;D;4.777777777777778;2009;327;1798;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-volkswagen-passat-1-8t-160-km-2009r-ID6GBijd.html
31555;Volkswagen Passat;D;4.866666666666666;2012;340;1395;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-1-4-turbo-150-km-6-biegow-bialy-kolor-tempomat-grzane-fotele-ID6GAxw8.html
31582;Volkswagen Passat;D;4.866666666666666;2012;340;1395;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-1-4-turbo-150-km-6-biegow-bialy-kolor-tempomat-grzane-fotele-ID6GAxw8.html
31630;Volkswagen Passat;D;5.088888888888889;2011;304;1798;Manualna;otomoto.pl/osobowe/oferta/volkswagen-passat-1-8-160-km-salon-pl-bezwypadkowy-stan-bardzo-dobry-ID6FwUR6.html
