1 język;2 język;Liczba powtórzeń
das Beispiel;przykład;1
das Ende;koniec;1
das Jahr;rok;1
das Kind;dziecko;1
das Land;kraj;1
der Fall;przypadek;1
der Mann;mężczyzna;1
der Mensch;człowiek;1
der Tag;dzień;1
der/das Teil;część;1
die Frage;pytanie;1
die Leute;ludzie;1
die Million;milion;1
die Stadt;miasto;1
die Welt;świat;1
