1 język;2 język;Liczba powtórzeń
obwohl; chociaż;6
sondern; ale;6
dagegen; przeciwko;2
durchschnittlich; przeciętny;2
gemeinsame; wspólny;2
schlechten;złe ;2
ausserdem; poza tym;1
das Aussehen; wygląd;1
die Ausnahme; wyjątek;1
ihr hattet; wy mieliście;1
niemand; nikt;1
unterscheidet sich; różni się;1
weil; bo;1
wir waeren; my bylibyśmy;1
