1 język;2 język;Liczba powtórzeń
bilden; tworzyć;2
sollte; powinien;2
ausserdem; poza tym;1
dagegen; przeciwko;1
die Ausnahme; wyjątek;1
du möchtest; ty chciałbyś;1
durchschnittlich; przeciętny;1
er möchte; on chciałby;1
schlechten;złe ;1
sie sollten; oni powinni;1
sondern; ale;1
unterscheidet sich; różni się;1
weil; bo;1
zugleich; jednocześnie;1
