model;klasa;counts
Mitsubishi ASX;X;23
Toyota Land Cruiser;X;23
Opel Cascada;X;23
Alfa-Romeo 156;X;22
Nissan Almera;X;20
Kia Stinger;X;20
Renault Talisman;X;20
Nissan 350;X;20
Volvo C70;X;20
Volvo S40;X;20
BMW M1;X;20
Toyota GT;X;20
Nissan GT;X;20
Alfa-Romeo 159;X;19
Audi Rs7;X;19
Toyota iQ;X;19
Mitsubishi Outlander;X;18
Renault Koleos;X;18
Chevrolet Aveo;X;18
Suzuki Splash;X;17
Toyota Previa;X;17
Citroen Berlingo;X;17
Mini Paceman;X;17
Kia Xceed;X;17
Ford F;X;17
Skoda Roomster;X;16
Volkswagen Fox;X;16
Toyota MR2;X;16
Ford Grand;X;16
Kia Proceed;X;16
Opel Combo;X;16
Seat Mii;X;15
Fiat Barchetta;X;15
Renault Laguna;X;15
Opel Tigra;X;15
Chevrolet Spark;X;15
Mini Roadster;X;15
Suzuki Alto;X;15
Mini Coupe;X;15
Fiat Bravo;X;15
Hyundai Getz;X;15
Hyundai Ix35;X;14
Toyota Corol Verso;X;14
Volkswagen Lupo;X;14
Audi A7;X;13
Opel GT;X;13
Toyota Sienna;X;13
Chevrolet Matiz;X;12
Skoda Citigo;X;12
Ford Bronco;X;12
Audi Q7;X;12
Toyota Supra;X;12
Dacia Jogger;X;11
Nissan Pulsar;X;11
Kia Soul;X;11
Mercedes-Benz GLS;X;11
Mercedes-Benz GL;X;11
Volvo S70;X;11
Chevrolet Tahoe;X;11
Chevrolet Captiva;X;11
Honda S2000;X;10
Chevrolet Nubira;X;10
Fiat Coupe;X;10
Hyundai Bayon;X;10
Toyota Starlet;X;10
Toyota Celica;X;10
Renault Wind;X;10
Opel Antara;X;10
Mercedes-Benz KlasaR;X;9
Honda Integra;X;9
Suzuki Baleno;X;9
Opel Karl;X;9
BMW M8;X;9
Audi S7;X;9
Citroen C4 Spacetourer;X;9
Kia Carens;X;9
Toyota Highlander;X;9
Seat Exeo;X;9
Chevrolet Trax;X;9
Nissan Skyline;X;9
Opel Speedster;X;8
Dacia Dokker;X;8
Citroen C2;X;8
Chevrolet Trailblazer;X;8
Audi Cabriolet;X;8
Mercedes-Benz CLC;X;8
Alfa-Romeo Brera;X;8
Alfa-Romeo GT;X;8
Alfa-Romeo GTV;X;8
Nissan Primera;X;7
Audi Sq7;X;7
Alfa-Romeo 164;X;7
Volkswagen Bora;X;7
Peugeot Rifter;X;7
Chevrolet Kalos;X;7
Peugeot 100;X;7
Suzuki Liana;X;7
Suzuki Celerio;X;7
Chevrolet Cruze;X;7
Chevrolet Orlando;X;7
Nissan Murano;X;7
Toyota Yaris Cross;X;7
Nissan Zx;X;7
Subaru BRZ;X;7
Ford Maverick;X;7
Mazda CX-7;X;6
Volkswagen CC;X;6
Seat Toledo;X;6
Volvo S80;X;6
Chevrolet Tacuma;X;6
Ford Ranger;X;6
Nissan Tiida;X;6
Hyundai Santa;X;6
Hyundai Matrix;X;6
Toyota Proace;X;6
Ford Galaxy;X;6
Toyota Yaris Verso;X;6
Fiat Doblo;X;6
Toyota Urbancruiser;X;6
Hyundai Veloster;X;6
Audi A2;X;6
Ford Edge;X;6
Ford Fusion;X;6
Opel Calibra;X;6
Ford Streetka;X;6
Ford Escort;X;6
Mercedes-Benz GLK;X;5
Kia Sorento;X;5
Audi 80;X;5
Toyota GR;X;5
Renault SportSpider;X;5
Audi Rs2;X;5
Opel Omega;X;5
