model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;wiek_ogloszenia;link
Alfa-Romeo 147;2002;3.9;6.4;-39.1;136.0;164.6;-17.4;113;autoscout24.ch/en/d/11450393
Alfa-Romeo 156;2003;19.5;22.98;-15.1;123.8;166.09;-25.5;553;autoscout24.ch/en/d/10224429
Alfa-Romeo 159;2010;7.9;10.02;-21.2;104.69;149.0;-29.7;195;autoscout24.ch/en/d/11206317
Alfa-Romeo 4c;2014;75.0;79.31;-5.4;18.0;33.03;-45.5;329;autoscout24.ch/en/d/10856728
Alfa-Romeo 4c;2016;67.9;77.39;-12.3;29.0;32.56;-10.9;45;autoscout24.ch/en/d/11635440
Alfa-Romeo 75;1990;21.9;35.45;-38.2;99.9;136.82;-27.0;623;autoscout24.ch/en/d/10052717
Alfa-Romeo Brera;2007;5.8;6.35;-8.7;169.999;185.5;-8.4;62;autoscout24.ch/en/d/11589228
Alfa-Romeo Giulia;2022;43.8;46.54;-5.9;8.68;18.75;-53.7;28;autoscout24.ch/en/d/11682278
Alfa-Romeo Giulia;2019;36.7;39.14;-6.2;41.999;61.62;-31.8;121;autoscout24.ch/en/d/11424907
Alfa-Romeo Giulia;2019;36.5;39.14;-6.7;53.4;61.62;-13.3;4;autoscout24.ch/en/d/11741093
Alfa-Romeo Giulia;2022;43.1;46.54;-7.4;15.5;18.75;-17.3;246;autoscout24.ch/en/d/11081097
Alfa-Romeo Giulia;2022;41.9;46.54;-10.0;12.0;18.75;-36.0;163;autoscout24.ch/en/d/11310037
Alfa-Romeo Giulia;2023;43.99;50.27;-12.5;10.3;12.89;-20.1;50;autoscout24.ch/en/d/11632457
Alfa-Romeo Giulia;2018;33.9;39.39;-13.9;37.7;71.04;-46.9;10;autoscout24.ch/en/d/11720714
Alfa-Romeo Giulia;2022;39.98;46.54;-14.1;15.879;18.75;-15.3;6;autoscout24.ch/en/d/11737192
Alfa-Romeo Giulia;2018;33.5;39.39;-15.0;21.5;71.04;-69.7;156;autoscout24.ch/en/d/11334573
Alfa-Romeo Giulia;2021;40.9;48.2;-15.1;29.2;31.67;-7.8;217;autoscout24.ch/en/d/11142544
Alfa-Romeo Giulia;2021;37.89;48.2;-21.4;20.0;31.67;-36.8;94;autoscout24.ch/en/d/11500826
Alfa-Romeo Giulia;2021;37.9;48.2;-21.4;19.9;31.67;-37.2;456;autoscout24.ch/en/d/10510514
Alfa-Romeo Giulia;2019;29.999;39.14;-23.4;37.5;61.62;-39.1;187;autoscout24.ch/en/d/11232126
Alfa-Romeo Giulia;2017;27.9;37.64;-25.9;34.7;84.04;-58.7;1;autoscout24.ch/en/d/11737049
Alfa-Romeo Giulia;2020;37.5;50.91;-26.3;31.43;37.52;-16.2;265;autoscout24.ch/en/d/11035232
Alfa-Romeo Giulia;2018;28.0;39.39;-28.9;29.0;71.04;-59.2;268;autoscout24.ch/en/d/11024149
Alfa-Romeo Giulia;2017;25.85;37.64;-31.3;57.0;84.04;-32.2;100;autoscout24.ch/en/d/11485799
Alfa-Romeo Giulia;2017;24.9;37.64;-33.8;37.1;84.04;-55.9;89;autoscout24.ch/en/d/11513600
Alfa-Romeo Giulia;2020;31.62;50.91;-37.9;27.0;37.52;-28.0;2;autoscout24.ch/en/d/11744621
Alfa-Romeo Giulia;2020;28.9;50.91;-43.2;27.1;37.52;-27.8;24;autoscout24.ch/en/d/11690208
Alfa-Romeo Giulia;2018;21.9;39.39;-44.4;66.5;71.04;-6.4;48;autoscout24.ch/en/d/11628721
Alfa-Romeo Giulietta;2019;15.96;16.91;-5.6;53.8;58.97;-8.8;1;autoscout24.ch/en/d/11738049
Alfa-Romeo Giulietta;2015;10.8;11.45;-5.7;60.0;88.5;-32.2;25;autoscout24.ch/en/d/11689317
Alfa-Romeo Giulietta;2013;7.99;8.82;-9.4;94.0;113.38;-17.1;62;autoscout24.ch/en/d/11589852
Alfa-Romeo Giulietta;2010;7.5;8.29;-9.5;135.5;155.03;-12.6;78;autoscout24.ch/en/d/11543557
Alfa-Romeo Giulietta;2011;7.5;8.48;-11.6;115.0;149.21;-22.9;12;autoscout24.ch/en/d/11719090
Alfa-Romeo Giulietta;2018;12.9;15.02;-14.1;62.5;91.45;-31.7;180;autoscout24.ch/en/d/11258124
Alfa-Romeo Giulietta;2011;6.9;8.48;-18.6;140.0;149.21;-6.2;186;autoscout24.ch/en/d/11234000
Alfa-Romeo Giulietta;2011;6.49;8.48;-23.5;105.9;149.21;-29.0;50;autoscout24.ch/en/d/11622574
Alfa-Romeo Giulietta;2016;9.9;13.52;-26.8;80.0;115.25;-30.6;52;autoscout24.ch/en/d/11615777
Alfa-Romeo Mito;2010;5.99;6.54;-8.4;122.0;128.68;-5.2;1;autoscout24.ch/en/d/11738100
Alfa-Romeo Mito;2016;7.49;8.45;-11.4;62.5;91.12;-31.4;78;autoscout24.ch/en/d/11540817
Alfa-Romeo Mito;2013;4.8;6.0;-20.0;101.0;132.25;-23.6;162;autoscout24.ch/en/d/11314583
Alfa-Romeo Mito;2009;2.99;4.15;-28.0;135.0;166.83;-19.1;96;autoscout24.ch/en/d/11497895
Alfa-Romeo Spider;1992;23.9;25.58;-6.6;75.85;101.16;-25.0;633;autoscout24.ch/en/d/9839248
Alfa-Romeo Spider;1992;21.9;25.58;-14.4;77.777;101.16;-23.1;131;autoscout24.ch/en/d/11407418
Alfa-Romeo Spider;2003;9.9;12.2;-18.9;86.0;112.5;-23.6;13;autoscout24.ch/en/d/11715254
Alfa-Romeo Stelvio;2020;35.95;37.86;-5.0;37.0;57.3;-35.4;164;autoscout24.ch/en/d/11306856
Alfa-Romeo Stelvio;2023;67.4;71.76;-6.1;8.0;10.81;-26.0;558;autoscout24.ch/en/d/10211117
Alfa-Romeo Stelvio;2021;42.49;45.53;-6.7;34.0;40.31;-15.7;157;autoscout24.ch/en/d/11330611
Alfa-Romeo Stelvio;2019;33.9;36.47;-7.0;33.5;70.46;-52.5;136;autoscout24.ch/en/d/11394141
Alfa-Romeo Stelvio;2020;34.99;37.86;-7.6;36.0;57.3;-37.2;136;autoscout24.ch/en/d/11393739
Alfa-Romeo Stelvio;2020;34.9;37.86;-7.8;30.7;57.3;-46.4;149;autoscout24.ch/en/d/11356127
Alfa-Romeo Stelvio;2020;34.8;37.86;-8.1;35.7;57.3;-37.7;157;autoscout24.ch/en/d/11330638
Alfa-Romeo Stelvio;2020;33.9;37.86;-10.5;41.0;57.3;-28.4;13;autoscout24.ch/en/d/11725960
Alfa-Romeo Stelvio;2022;51.9;58.94;-11.9;16.0;22.22;-28.0;296;autoscout24.ch/en/d/10951069
Alfa-Romeo Stelvio;2021;39.9;45.53;-12.4;28.5;40.31;-29.3;6;autoscout24.ch/en/d/11737529
Alfa-Romeo Stelvio;2021;39.9;45.53;-12.4;26.5;40.31;-34.3;352;autoscout24.ch/en/d/10790667
Alfa-Romeo Stelvio;2019;31.9;36.47;-12.5;58.0;70.46;-17.7;33;autoscout24.ch/en/d/11678060
Alfa-Romeo Stelvio;2020;32.95;37.86;-13.0;20.0;57.3;-65.1;167;autoscout24.ch/en/d/11302657
Alfa-Romeo Stelvio;2020;32.9;37.86;-13.1;49.0;57.3;-14.5;296;autoscout24.ch/en/d/10950864
Alfa-Romeo Stelvio;2022;51.2;58.94;-13.1;14.95;22.22;-32.7;519;autoscout24.ch/en/d/10323862
Alfa-Romeo Stelvio;2020;32.9;37.86;-13.1;35.5;57.3;-38.0;33;autoscout24.ch/en/d/11678058
Alfa-Romeo Stelvio;2020;32.5;37.86;-14.2;43.5;57.3;-24.1;119;autoscout24.ch/en/d/11442379
Alfa-Romeo Stelvio;2021;38.89;45.53;-14.6;34.0;40.31;-15.7;76;autoscout24.ch/en/d/11548946
Alfa-Romeo Stelvio;2019;30.99;36.47;-15.0;49.98;70.46;-29.1;152;autoscout24.ch/en/d/11347682
Alfa-Romeo Stelvio;2022;49.9;58.94;-15.3;19.74;22.22;-11.2;161;autoscout24.ch/en/d/11317143
Alfa-Romeo Stelvio;2022;49.9;58.94;-15.3;18.9;22.22;-14.9;166;autoscout24.ch/en/d/11303188
Alfa-Romeo Stelvio;2020;31.9;37.86;-15.7;50.9;57.3;-11.2;111;autoscout24.ch/en/d/11456309
Alfa-Romeo Stelvio;2021;37.9;45.53;-16.8;29.0;40.31;-28.1;73;autoscout24.ch/en/d/11556535
Alfa-Romeo Stelvio;2018;29.99;36.06;-16.8;25.9;89.76;-71.1;633;autoscout24.ch/en/d/9739334
Alfa-Romeo Stelvio;2021;37.8;45.53;-17.0;20.757;40.31;-48.5;371;autoscout24.ch/en/d/10742069
Alfa-Romeo Stelvio;2018;29.89;36.06;-17.1;83.0;89.76;-7.5;44;autoscout24.ch/en/d/11645495
Alfa-Romeo Stelvio;2018;29.9;36.06;-17.1;59.0;89.76;-34.3;569;autoscout24.ch/en/d/10181090
Alfa-Romeo Stelvio;2018;29.8;36.06;-17.4;54.0;89.76;-39.8;139;autoscout24.ch/en/d/11386745
Alfa-Romeo Stelvio;2021;37.5;45.53;-17.6;26.0;40.31;-35.5;112;autoscout24.ch/en/d/11451604
Alfa-Romeo Stelvio;2019;29.9;36.47;-18.0;58.9;70.46;-16.4;84;autoscout24.ch/en/d/11528502
Alfa-Romeo Stelvio;2018;29.5;36.06;-18.2;84.4;89.76;-6.0;110;autoscout24.ch/en/d/11458082
Alfa-Romeo Stelvio;2018;29.5;36.06;-18.2;82.0;89.76;-8.6;106;autoscout24.ch/en/d/11477618
Alfa-Romeo Stelvio;2022;47.9;58.94;-18.7;19.5;22.22;-12.2;401;autoscout24.ch/en/d/10669829
Alfa-Romeo Stelvio;2022;47.9;58.94;-18.7;19.0;22.22;-14.5;292;autoscout24.ch/en/d/10962105
Alfa-Romeo Stelvio;2021;36.99;45.53;-18.8;32.0;40.31;-20.6;275;autoscout24.ch/en/d/11005407
Alfa-Romeo Stelvio;2021;36.9;45.53;-19.0;30.0;40.31;-25.6;44;autoscout24.ch/en/d/11638907
Alfa-Romeo Stelvio;2022;46.99;58.94;-20.3;16.285;22.22;-26.7;19;autoscout24.ch/en/d/11712205
Alfa-Romeo Stelvio;2021;35.8;45.53;-21.4;28.6;40.31;-29.0;106;autoscout24.ch/en/d/11468195
Alfa-Romeo Stelvio;2018;27.9;36.06;-22.6;57.9;89.76;-35.5;65;autoscout24.ch/en/d/11579231
Alfa-Romeo Stelvio;2023;53.9;71.76;-24.9;9.0;10.81;-16.7;136;autoscout24.ch/en/d/11394162
Alfa-Romeo Stelvio;2018;26.8;36.06;-25.7;64.0;89.76;-28.7;70;autoscout24.ch/en/d/11574929
Alfa-Romeo Stelvio;2019;26.9;36.47;-26.2;45.0;70.46;-36.1;243;autoscout24.ch/en/d/11089678
Alfa-Romeo Stelvio;2018;26.5;36.06;-26.5;74.0;89.76;-17.6;83;autoscout24.ch/en/d/11541437
Alfa-Romeo Stelvio;2022;42.9;58.94;-27.2;15.1;22.22;-32.0;149;autoscout24.ch/en/d/11353244
Alfa-Romeo Stelvio;2019;24.998;36.47;-31.5;59.0;70.46;-16.3;36;autoscout24.ch/en/d/11660117
Alfa-Romeo Stelvio;2018;23.99;36.06;-33.5;84.0;89.76;-6.4;216;autoscout24.ch/en/d/11146373
Alfa-Romeo Stelvio;2018;23.9;36.06;-33.7;79.498;89.76;-11.4;49;autoscout24.ch/en/d/11625712
Audi A1;2021;21.499;22.64;-5.0;21.2;36.74;-42.3;104;autoscout24.ch/en/d/11475422
Audi A1;2021;21.5;22.64;-5.0;14.7;36.74;-60.0;145;autoscout24.ch/en/d/11368079
Audi A1;2017;14.999;15.82;-5.2;73.0;86.36;-15.5;209;autoscout24.ch/en/d/11162269
Audi A1;2017;14.997;15.82;-5.2;55.06;86.36;-36.2;86;autoscout24.ch/en/d/11519629
Audi A1;2017;14.98;15.82;-5.3;72.5;86.36;-16.0;559;autoscout24.ch/en/d/10208965
Audi A1;2018;17.5;18.49;-5.4;58.0;72.79;-20.3;111;autoscout24.ch/en/d/11456065
Audi A1;2022;25.98;27.56;-5.7;9.9;21.8;-54.6;16;autoscout24.ch/en/d/11717674
Audi A1;2017;14.9;15.82;-5.8;62.0;86.36;-28.2;106;autoscout24.ch/en/d/11477350
Audi A1;2023;29.98;31.91;-6.0;8.25;9.67;-14.7;0;autoscout24.ch/en/d/11749999
Audi A1;2023;29.99;31.91;-6.0;7.671;9.67;-20.7;23;autoscout24.ch/en/d/11702456
Audi A1;2023;29.98;31.91;-6.0;5.9;9.67;-39.0;1;autoscout24.ch/en/d/11748070
Audi A1;2012;11.999;12.77;-6.0;70.867;135.69;-47.8;633;autoscout24.ch/en/d/9927870
Audi A1;2022;25.9;27.56;-6.0;4.99;21.8;-77.1;16;autoscout24.ch/en/d/11717526
Audi A1;2023;29.9;31.91;-6.3;6.0;9.67;-38.0;72;autoscout24.ch/en/d/11568226
Audi A1;2023;29.8;31.91;-6.6;6.9;9.67;-28.6;84;autoscout24.ch/en/d/11535703
Audi A1;2023;29.7;31.91;-6.9;7.0;9.67;-27.6;38;autoscout24.ch/en/d/11662371
Audi A1;2016;12.98;13.96;-7.0;48.0;87.53;-45.2;3;autoscout24.ch/en/d/11731771
Audi A1;2023;29.59;31.91;-7.3;8.0;9.67;-17.3;43;autoscout24.ch/en/d/11649695
Audi A1;2021;20.98;22.64;-7.3;27.0;36.74;-26.5;77;autoscout24.ch/en/d/11545416
Audi A1;2021;20.9;22.64;-7.7;33.0;36.74;-10.2;21;autoscout24.ch/en/d/11697988
Audi A1;2021;20.9;22.64;-7.7;30.2;36.74;-17.8;99;autoscout24.ch/en/d/11488311
Audi A1;2021;20.9;22.64;-7.7;25.049;36.74;-31.8;56;autoscout24.ch/en/d/11605877
Audi A1;2016;12.8;13.96;-8.3;82.0;87.53;-6.3;83;autoscout24.ch/en/d/11532728
Audi A1;2013;9.99;10.9;-8.3;88.1;113.54;-22.4;140;autoscout24.ch/en/d/11382344
Audi A1;2013;9.9;10.9;-9.2;105.4;113.54;-7.2;58;autoscout24.ch/en/d/11608157
Audi A1;2013;9.9;10.9;-9.2;81.5;113.54;-28.2;8;autoscout24.ch/en/d/11735826
Audi A1;2023;28.9;31.91;-9.4;4.7;9.67;-51.4;66;autoscout24.ch/en/d/11584219
Audi A1;2023;28.9;31.91;-9.4;1.0;9.67;-89.7;29;autoscout24.ch/en/d/11686462
Audi A1;2023;28.9;31.91;-9.4;0.2;9.67;-97.9;125;autoscout24.ch/en/d/11418843
Audi A1;2023;28.78;31.91;-9.8;9.0;9.67;-6.9;85;autoscout24.ch/en/d/11532565
Audi A1;2023;28.76;31.91;-9.9;8.141;9.67;-15.8;56;autoscout24.ch/en/d/11615000
Audi A1;2022;24.8;27.56;-10.0;15.3;21.8;-29.8;107;autoscout24.ch/en/d/11474547
Audi A1;2019;19.9;22.19;-10.3;56.0;66.5;-15.8;56;autoscout24.ch/en/d/11607257
Audi A1;2016;12.48;13.96;-10.6;43.0;87.53;-50.9;37;autoscout24.ch/en/d/11656436
Audi A1;2023;28.49;31.91;-10.7;9.0;9.67;-6.9;85;autoscout24.ch/en/d/11532542
Audi A1;2023;28.5;31.91;-10.7;4.5;9.67;-53.5;236;autoscout24.ch/en/d/11107479
Audi A1;2014;10.0;11.33;-11.7;99.722;117.1;-14.8;16;autoscout24.ch/en/d/11718416
Audi A1;2021;19.9;22.64;-12.1;23.9;36.74;-34.9;233;autoscout24.ch/en/d/11113480
Audi A1;2019;19.1;22.19;-13.9;34.0;66.5;-48.9;529;autoscout24.ch/en/d/10292902
Audi A1;2016;11.99;13.96;-14.1;56.2;87.53;-35.8;22;autoscout24.ch/en/d/11696583
Audi A1;2016;11.899;13.96;-14.8;76.2;87.53;-12.9;6;autoscout24.ch/en/d/11727174
Audi A1;2023;26.89;31.91;-15.7;8.386;9.67;-13.3;63;autoscout24.ch/en/d/11594041
Audi A1;2023;26.9;31.91;-15.7;2.7;9.67;-72.1;21;autoscout24.ch/en/d/11699960
Audi A1;2023;26.8;31.91;-16.0;5.4;9.67;-44.2;122;autoscout24.ch/en/d/11431984
Audi A1;2019;18.5;22.19;-16.6;37.8;66.5;-43.2;52;autoscout24.ch/en/d/11616182
Audi A1;2016;11.6;13.96;-16.9;60.3;87.53;-31.1;72;autoscout24.ch/en/d/11559919
Audi A1;2016;11.5;13.96;-17.6;81.0;87.53;-7.5;84;autoscout24.ch/en/d/11526033
Audi A1;2012;10.5;12.77;-17.8;69.0;135.69;-49.1;633;autoscout24.ch/en/d/9766058
Audi A1;2023;25.9;31.91;-18.8;8.5;9.67;-12.1;88;autoscout24.ch/en/d/11524832
Audi A1;2018;14.9;18.49;-19.4;67.7;72.79;-7.0;23;autoscout24.ch/en/d/11702006
Audi A1;2015;11.9;15.2;-21.7;75.9;87.03;-12.8;27;autoscout24.ch/en/d/11685127
Audi A1;2023;24.85;31.91;-22.1;7.0;9.67;-27.6;1;autoscout24.ch/en/d/11736787
Audi A1;2012;9.88;12.77;-22.6;113.178;135.69;-16.6;51;autoscout24.ch/en/d/11619866
Audi A1;2015;11.6;15.2;-23.7;41.876;87.03;-51.9;105;autoscout24.ch/en/d/11471831
Audi A1;2015;11.5;15.2;-24.3;81.0;87.03;-6.9;123;autoscout24.ch/en/d/11422162
Audi A1;2011;5.9;7.95;-25.8;130.0;149.46;-13.0;43;autoscout24.ch/en/d/11641134
Audi A1;2013;7.999;10.9;-26.6;106.8;113.54;-5.9;195;autoscout24.ch/en/d/11205087
Audi A1;2012;8.9;12.77;-30.3;120.2;135.69;-11.4;177;autoscout24.ch/en/d/11266365
Audi A1;2022;18.9;27.56;-31.4;18.0;21.8;-17.4;22;autoscout24.ch/en/d/11704406
Audi A1;2015;9.9;15.2;-34.9;80.0;87.03;-8.1;52;autoscout24.ch/en/d/11616415
Audi A1;2014;7.2;11.33;-36.5;73.0;117.1;-37.7;139;autoscout24.ch/en/d/11387757
Audi A1;2011;4.999;7.95;-37.1;138.75;149.46;-7.2;59;autoscout24.ch/en/d/11597107
Audi A1;2012;7.4;12.77;-42.1;127.0;135.69;-6.4;87;autoscout24.ch/en/d/11516839
Audi A3;2017;19.5;20.56;-5.2;65.2;88.08;-26.0;126;autoscout24.ch/en/d/11422772
Audi A3;2022;33.8;35.88;-5.8;21.6;35.61;-39.3;633;autoscout24.ch/en/d/9830733
Audi A3;2023;39.99;42.44;-5.8;2.1;20.26;-89.6;58;autoscout24.ch/en/d/11608601
Audi A3;2023;39.8;42.44;-6.2;9.25;20.26;-54.3;42;autoscout24.ch/en/d/11652936
Audi A3;2023;39.8;42.44;-6.2;7.9;20.26;-61.0;42;autoscout24.ch/en/d/11652843
Audi A3;2018;21.5;22.95;-6.3;65.0;86.51;-24.9;282;autoscout24.ch/en/d/10987510
Audi A3;2018;21.4;22.95;-6.8;65.1;86.51;-24.7;24;autoscout24.ch/en/d/11698636
Audi A3;2010;7.9;8.51;-7.2;103.788;156.24;-33.6;18;autoscout24.ch/en/d/11704587
Audi A3;2017;19.0;20.56;-7.6;43.0;88.08;-51.2;77;autoscout24.ch/en/d/11543952
Audi A3;2015;14.8;16.08;-8.0;98.0;124.02;-21.0;49;autoscout24.ch/en/d/11624297
Audi A3;2015;14.5;16.08;-9.8;95.0;124.02;-23.4;35;autoscout24.ch/en/d/11664601
Audi A3;2019;21.603;24.0;-10.0;34.9;71.01;-50.9;57;autoscout24.ch/en/d/11613993
Audi A3;2023;37.5;42.44;-11.6;4.6;20.26;-77.3;71;autoscout24.ch/en/d/11572090
Audi A3;2013;12.499;14.27;-12.4;76.4;112.54;-32.1;30;autoscout24.ch/en/d/11673877
Audi A3;2023;36.99;42.44;-12.8;18.2;20.26;-10.2;68;autoscout24.ch/en/d/11581056
Audi A3;2017;17.9;20.56;-12.9;75.3;88.08;-14.5;78;autoscout24.ch/en/d/11542206
Audi A3;2023;36.98;42.44;-12.9;7.5;20.26;-63.0;10;autoscout24.ch/en/d/11730394
Audi A3;2004;4.5;5.18;-13.1;165.0;175.58;-6.0;52;autoscout24.ch/en/d/11626118
Audi A3;2018;19.9;22.95;-13.3;78.3;86.51;-9.5;80;autoscout24.ch/en/d/11536207
Audi A3;2009;6.4;7.42;-13.7;135.0;152.62;-11.5;44;autoscout24.ch/en/d/11637189
Audi A3;2019;20.496;24.0;-14.6;36.35;71.01;-48.8;8;autoscout24.ch/en/d/11724143
Audi A3;2011;7.5;8.84;-15.2;126.85;145.15;-12.6;36;autoscout24.ch/en/d/11660557
Audi A3;2023;35.8;42.44;-15.6;18.999;20.26;-6.2;41;autoscout24.ch/en/d/11657263
Audi A3;2019;19.8;24.0;-17.5;56.7;71.01;-20.2;19;autoscout24.ch/en/d/11712173
Audi A3;2023;34.8;42.44;-18.0;5.0;20.26;-75.3;124;autoscout24.ch/en/d/11428911
Audi A3;2013;11.59;14.27;-18.8;33.0;112.54;-70.7;56;autoscout24.ch/en/d/11607040
Audi A3;2009;5.9;7.42;-20.5;121.0;152.62;-20.7;20;autoscout24.ch/en/d/11701112
Audi A3;2005;3.9;4.96;-21.4;141.767;182.83;-22.5;14;autoscout24.ch/en/d/11714344
Audi A3;2012;6.8;9.1;-25.3;132.0;140.14;-5.8;7;autoscout24.ch/en/d/11726303
Audi A3;2013;10.5;14.27;-26.4;98.765;112.54;-12.2;35;autoscout24.ch/en/d/11671868
Audi A3;2023;29.888;42.44;-29.6;14.7;20.26;-27.4;61;autoscout24.ch/en/d/11592782
Audi A3;2013;9.99;14.27;-30.0;84.3;112.54;-25.1;61;autoscout24.ch/en/d/11592064
Audi A3;2016;12.5;18.1;-30.9;87.5;98.29;-11.0;186;autoscout24.ch/en/d/11234418
Audi A3;2011;5.9;8.84;-33.3;114.0;145.15;-21.5;145;autoscout24.ch/en/d/11368259
Audi A3;2023;27.8;42.44;-34.5;13.31;20.26;-34.3;28;autoscout24.ch/en/d/11691931
Audi A4;2018;25.9;27.33;-5.2;94.0;108.31;-13.2;95;autoscout24.ch/en/d/11498714
Audi A4;2009;7.999;8.55;-6.4;128.0;173.6;-26.3;9;autoscout24.ch/en/d/11722508
Audi A4;2002;3.9;4.42;-11.8;133.4;166.98;-20.1;2;autoscout24.ch/en/d/11736068
Audi A4;2017;20.999;24.57;-14.5;83.245;104.07;-20.0;27;autoscout24.ch/en/d/11686101
Audi A4;2023;40.85;47.84;-14.6;1.59;14.05;-88.7;34;autoscout24.ch/en/d/11677098
Audi A4;2001;2.8;3.3;-15.2;139.0;156.0;-10.9;22;autoscout24.ch/en/d/11695543
Audi A4;2019;24.8;29.4;-15.6;55.0;87.12;-36.9;249;autoscout24.ch/en/d/11073762
Audi A4;2018;22.9;27.33;-16.2;53.0;108.31;-51.1;94;autoscout24.ch/en/d/11510362
Audi A4;2010;8.9;10.68;-16.7;119.0;140.25;-15.2;145;autoscout24.ch/en/d/11369573
Audi A4;2003;3.999;4.85;-17.5;160.0;181.23;-11.7;43;autoscout24.ch/en/d/11641774
Audi A4;2016;21.0;25.66;-18.2;68.755;78.61;-12.5;13;autoscout24.ch/en/d/11715347
Audi A4;2009;6.9;8.55;-19.3;147.079;173.6;-15.3;75;autoscout24.ch/en/d/11552566
Audi A4;2003;3.9;4.85;-19.6;157.5;181.23;-13.1;104;autoscout24.ch/en/d/11475935
Audi A4;2003;3.9;4.85;-19.6;106.0;181.23;-41.5;8;autoscout24.ch/en/d/11725511
Audi A4;2002;3.499;4.42;-20.8;140.0;166.98;-16.2;16;autoscout24.ch/en/d/11709788
Audi A4;2003;3.5;4.85;-27.8;145.0;181.23;-20.0;288;autoscout24.ch/en/d/10973056
Audi A4;2023;32.95;47.84;-31.1;13.0;14.05;-7.5;5;autoscout24.ch/en/d/11728504
Audi A5;2009;7.999;8.43;-5.1;132.9;168.89;-21.3;31;autoscout24.ch/en/d/11672236
Audi A5;2016;24.9;27.11;-8.2;68.0;82.37;-17.4;59;autoscout24.ch/en/d/11595586
Audi A5;2016;24.5;27.11;-9.6;68.5;82.37;-16.8;633;autoscout24.ch/en/d/9733028
Audi A5;2019;34.95;39.73;-12.0;31.7;55.1;-42.5;33;autoscout24.ch/en/d/11677684
Audi A5;2015;14.9;18.13;-17.8;128.0;136.77;-6.4;85;autoscout24.ch/en/d/11523578
Audi A5;2009;6.9;8.43;-18.1;158.0;168.89;-6.4;9;autoscout24.ch/en/d/11723863
Audi A5;2017;19.9;28.34;-29.8;68.5;91.85;-25.4;68;autoscout24.ch/en/d/11571198
Audi A5;2013;10.9;15.57;-30.0;114.0;133.63;-14.7;28;autoscout24.ch/en/d/11681685
Audi A6;2023;49.98;53.05;-5.8;8.7;13.24;-34.3;8;autoscout24.ch/en/d/11734645
Audi A6;2012;12.89;14.34;-10.1;132.0;157.5;-16.2;3;autoscout24.ch/en/d/11731132
Audi A6;2000;8.8;9.98;-11.8;118.0;146.04;-19.2;384;autoscout24.ch/en/d/10716326
Audi A6;2009;9.9;12.27;-19.3;152.5;160.73;-5.1;271;autoscout24.ch/en/d/11017628
Audi A6;2011;8.9;11.61;-23.3;145.217;156.01;-6.9;218;autoscout24.ch/en/d/11139285
Audi A6;2006;5.4;7.18;-24.8;159.0;180.41;-11.9;5;autoscout24.ch/en/d/11740114
Audi A6;2008;3.9;6.1;-36.1;156.0;176.33;-11.5;58;autoscout24.ch/en/d/11600431
Audi Cabriolet;1994;9.9;10.71;-7.6;91.457;128.08;-28.6;633;autoscout24.ch/en/d/9691118
Audi Cabriolet;1998;7.9;15.2;-48.0;104.0;110.5;-5.9;43;autoscout24.ch/en/d/11639720
Audi Q2;2017;19.9;21.13;-5.8;78.9;90.52;-12.8;189;autoscout24.ch/en/d/11225026
Audi Q2;2018;21.8;23.26;-6.3;75.0;82.61;-9.2;82;autoscout24.ch/en/d/11542478
Audi Q2;2023;37.9;40.47;-6.4;9.8;14.86;-34.1;400;autoscout24.ch/en/d/10672231
Audi Q2;2019;24.9;26.68;-6.7;41.5;66.87;-37.9;37;autoscout24.ch/en/d/11666510
Audi Q2;2020;22.8;24.84;-8.2;32.58;60.66;-46.3;15;autoscout24.ch/en/d/11722013
Audi Q2;2020;22.8;24.84;-8.2;17.5;60.66;-71.2;51;autoscout24.ch/en/d/11619293
Audi Q2;2022;29.98;33.04;-9.3;19.805;22.91;-13.6;30;autoscout24.ch/en/d/11684126
Audi Q2;2023;36.7;40.47;-9.3;12.0;14.86;-19.2;327;autoscout24.ch/en/d/10861964
Audi Q2;2023;35.9;40.47;-11.3;9.9;14.86;-33.4;514;autoscout24.ch/en/d/10340462
Audi Q2;2023;35.85;40.47;-11.4;8.9;14.86;-40.1;262;autoscout24.ch/en/d/11041592
Audi Q2;2023;34.99;40.47;-13.5;4.0;14.86;-73.1;241;autoscout24.ch/en/d/11092058
Audi Q2;2023;34.9;40.47;-13.8;13.0;14.86;-12.5;314;autoscout24.ch/en/d/10900685
Audi Q2;2019;22.99;26.68;-13.8;42.0;66.87;-37.2;106;autoscout24.ch/en/d/11467997
Audi Q2;2023;34.7;40.47;-14.3;10.5;14.86;-29.3;283;autoscout24.ch/en/d/10982854
Audi Q2;2022;27.9;33.04;-15.6;21.0;22.91;-8.3;49;autoscout24.ch/en/d/11634422
Audi Q2;2022;27.8;33.04;-15.9;19.7;22.91;-14.0;170;autoscout24.ch/en/d/11289389
Audi Q2;2023;33.9;40.47;-16.2;9.8;14.86;-34.1;398;autoscout24.ch/en/d/10679379
Audi Q2;2021;26.9;32.99;-18.5;26.9;31.1;-13.5;38;autoscout24.ch/en/d/11661968
Audi Q2;2018;16.8;23.26;-27.8;75.0;82.61;-9.2;71;autoscout24.ch/en/d/11571786
Audi Q3;2016;19.9;21.09;-5.6;44.2;90.95;-51.4;15;autoscout24.ch/en/d/11722203
