können;móc
sprechen;mówić
gehen;iść
genießen;cieszyć się
verdanken;zawdzięczać
entscheiden;decydować
sein;być
annehmen;zakładać, że
müssen;musieć
tragen;nosić
nehmen;wziąć
altern;postarzeć
zuschauen;przyglądać się
eintreten;wchodzić
stellen;stawiać
